"","Week","single","problems"
"1",1,"0",55.33
"2",1,"1",52.55
"3",2,"0",54.63
"4",2,"1",52.57
"5",3,"0",53.93
"6",3,"1",52.59
"7",4,"0",53.23
"8",4,"1",52.61
"9",5,"0",52.53
"10",5,"1",52.64
"11",6,"0",51.83
"12",6,"1",52.66
"13",7,"0",52.93
"14",7,"1",51.88
"15",8,"0",54.04
"16",8,"1",51.1
"17",9,"0",55.15
"18",9,"1",50.32
"19",10,"0",56.25
"20",10,"1",49.53
