"","material_hardship","Average","MOE"
"1",0,33.66,-0.83
"2",1,41.57,-2.1
"3",2,43.05,-1.82
"4",3,45.94,-2.12
"5",4,50.88,-2.68
"6",5,52.06,-3.87
"7",6,58.8,-4.92
