"","material_hardship","Average","MOE"
"1",0,33.98,-0.82
"2",1,38.9,-2.22
"3",2,42.99,-1.93
"4",3,46.23,-2.17
"5",4,48.72,-2.77
"6",5,52.95,-4.05
"7",6,58.18,-5.02
