"","material_hardship","Average","MOE"
"1",0,35.51,-0.67
"2",1,44.87,-1.68
"3",2,47,-1.45
"4",3,51.8,-1.6
"5",4,57.31,-2.09
"6",5,61.34,-2.94
"7",6,64.19,-3.49
