"","race_ethnic","poverty_cat","count","percent"
"1","Black","Above FPL",280,30.7
"2","Black","Below FPL",240,24.2
"3","Latinx","Above FPL",591,30.1
"4","Latinx","Below FPL",404,36.6
"5","White","Above FPL",2753,23.2
"6","White","Below FPL",1085,32.6
