"","material_hardship","Average","MOE"
"1",0,33.99,-0.83
"2",1,38.65,-2.26
"3",2,42.99,-1.91
"4",3,46.92,-2.16
"5",4,48.87,-2.76
"6",5,54.5,-4.05
"7",6,58.94,-5.13
