"","material_hardship","Average","MOE"
"1",0,33.7,-0.83
"2",1,38.23,-2.28
"3",2,42.9,-1.93
"4",3,47.16,-2.17
"5",4,49.1,-2.8
"6",5,53.99,-4.09
"7",6,58.12,-5.17
