"","Week","Date","percent","moe"
"1",2,2020-04-14,27.3333333333333,7.13221391008846
"2",3,2020-04-20,31.3186813186813,6.73816162094981
"3",4,2020-04-28,29.2576419213974,5.89247510649505
"4",5,2020-05-05,27.0408163265306,6.21838944960339
"5",6,2020-05-12,27.6041666666667,4.47130778081324
"6",7,2020-05-19,28.8499025341131,3.92064313402562
"7",8,2020-05-26,28.343949044586,3.52478688421013
"8",9,2020-06-02,28.4923928077455,3.29023946433722
"9",10,2020-06-09,31.7373461012312,3.37422680517314
"10",11,2020-06-16,32.5925925925926,3.22795021419329
"11",12,2020-06-23,31.3624678663239,3.2602598640146
"12",13,2020-06-29,34.0789473684211,3.36980234295538
"13",14,2020-07-06,35.5203619909502,3.15485879371858
"14",15,2020-07-13,32.8888888888889,3.06942221521474
"15",16,2020-07-20,32.7092511013216,3.05158961567245
"16",17,2020-07-27,33.8378378378378,3.04923820170284
"17",19,2020-08-11,34.6230158730159,2.93711326000994
"18",21,2020-08-25,32.9938900203666,2.94085960202817
"19",23,2020-09-08,37.979797979798,3.02330099849412
"20",25,2020-09-21,35.3067814854682,3.07331204617591
"21",27,2020-10-06,34.7408829174664,2.89110080434835
"22",29,2020-10-20,35.7779980178394,2.95774293657918
