"","material_hardship","Average","MOE"
"1",0,35.16,-0.7
"2",1,44.56,-1.75
"3",2,47.43,-1.5
"4",3,51.98,-1.72
"5",4,56.81,-2.18
"6",5,61.31,-3.03
"7",6,62.94,-3.67
