"","material_hardship","Average","MOE"
"1",0,33.73,-0.82
"2",1,38.52,-2.26
"3",2,43.07,-1.91
"4",3,47.18,-2.14
"5",4,48.9,-2.77
"6",5,54.07,-3.96
"7",6,57.82,-5.17
