"age","percent"
"3-5 days",0.555212831585441
"1 mo",1.17211597779149
"2 mos",2.15916101172116
"4 mos",3.14620604565083
"6 mos",3.63972856261567
"9 mos",5.24367674275139
"12 mos",5.92227020357804
"15 mos",5.18198642813078
"18 mos",8.0814312152992
"24 mos",10.6724244293646
"2.5 yrs",7.52621838371376
"3 yrs",13.4484885872918
"4 yrs",15.8544108574954
"5 yrs",17.3966687230105
