"","material_hardship","Average","MOE"
"1",0,33.34,-0.95
"2",1,41.03,-2.34
"3",2,43.75,-2.12
"4",3,46.74,-2.44
"5",4,50.31,-3.2
"6",5,52.12,-4.82
"7",6,55.34,-6.26
