"","material_hardship","Average","MOE"
"1",0,33.52,-0.81
"2",1,40.9,-2.06
"3",2,43.34,-1.79
"4",3,45.74,-2.04
"5",4,51.08,-2.67
"6",5,53.72,-3.72
"7",6,60.61,-4.75
