"","Week","poverty150","problems"
"1",1,"0",28.49
"2",1,"1",22.18
"3",2,"0",28.22
"4",2,"1",23.01
"5",3,"0",27.96
"6",3,"1",23.84
"7",4,"0",27.69
"8",4,"1",24.67
"9",5,"0",27.42
"10",5,"1",25.5
"11",6,"0",27.16
"12",6,"1",26.33
"13",7,"0",27.42
"14",7,"1",25.48
"15",8,"0",27.68
"16",8,"1",24.62
"17",9,"0",27.95
"18",9,"1",23.77
"19",10,"0",28.21
"20",10,"1",22.91
