"","Week","black","problems"
"1",1,"0",43.77
"2",1,"1",54.09
"3",2,"0",42.84
"4",2,"1",53.97
"5",3,"0",41.92
"6",3,"1",53.85
"7",4,"0",40.99
"8",4,"1",53.73
"9",5,"0",40.07
"10",5,"1",53.61
"11",6,"0",39.14
"12",6,"1",53.49
"13",7,"0",42.42
"14",7,"1",52.73
"15",8,"0",45.7
"16",8,"1",51.97
"17",9,"0",48.99
"18",9,"1",51.2
"19",10,"0",52.27
"20",10,"1",50.44
