"","Week","disability","wb"
"1",0,0,16.0630567276137
"2",0,1,36.4098837209302
"3",1,0,32.0714519829564
"4",1,1,47.5024366471735
"5",2,0,31.3517441860465
"6",2,1,49.1865079365079
"7",3,0,30.3911053911054
"8",3,1,43.717549325026
"9",4,0,30.6638546891625
"10",4,1,39.469696969697
