"","material_hardship","Average","MOE"
"1",0,35.4,-0.69
"2",1,44.44,-1.72
"3",2,47.53,-1.48
"4",3,52.2,-1.68
"5",4,56.63,-2.15
"6",5,60.89,-3
"7",6,63.36,-3.65
