"","Week","poverty150","problems"
"1",1,"0",27.36
"2",1,"1",22.71
"3",2,"0",26.02
"4",2,"1",22.6
"5",3,"0",28.62
"6",3,"1",23.36
"7",4,"0",23.25
"8",4,"1",20.87
"9",5,"0",27.57
"10",5,"1",26.63
"11",6,"0",25.91
"12",6,"1",26.1
"13",7,"0",25.62
"14",7,"1",24.86
"15",8,"0",24.73
"16",8,"1",24.08
"17",9,"0",23.98
"18",9,"1",23.23
"19",10,"0",29.19
"20",10,"1",22.88
