"","material_hardship","Average","MOE"
"1",0,34.15,-0.81
"2",1,44.35,-1.94
"3",2,47.12,-1.82
"4",3,52.04,-1.94
"5",4,57.97,-2.59
"6",5,59.66,-3.66
"7",6,59.85,-4.88
