"","Week","disability","fear"
"1",0,0,0.981006647673314
"2",0,1,1.20414201183432
"3",1,0,0.483920367534456
"4",1,1,0.990654205607477
"5",2,0,0.489182692307692
"6",2,1,1.03759398496241
"7",3,0,0.487678339818418
"8",3,1,0.906542056074766
"9",4,0,0.469050894085282
"10",4,1,0.918181818181818
