"","Week","single","problems"
"1",1,"0",54.26
"2",1,"1",53.15
"3",2,"0",49.58
"4",2,"1",49.06
"5",3,"0",54.9
"6",3,"1",49.19
"7",4,"0",56.35
"8",4,"1",49.57
"9",5,"0",59.26
"10",5,"1",56.22
"11",6,"0",63.11
"12",6,"1",52.81
"13",7,"0",55.88
"14",7,"1",51.06
"15",8,"0",53
"16",8,"1",50.31
"17",9,"0",61.4
"18",9,"1",52.27
"19",10,"0",58.82
"20",10,"1",50.8
