"","material_hardship","Average","MOE"
"1",0,33.82,-0.83
"2",1,38.2,-2.29
"3",2,43.3,-1.96
"4",3,47.29,-2.18
"5",4,49.33,-2.84
"6",5,53.99,-4.09
"7",6,58.6,-5.24
