"","material_hardship","Average","MOE"
"1",0,35.37,-0.68
"2",1,44.9,-1.69
"3",2,47.03,-1.47
"4",3,51.76,-1.63
"5",4,56.76,-2.13
"6",5,60.88,-2.94
"7",6,64.1,-3.59
