"","Week","Date","percent","moe"
"1",2,2020-04-14,26.8456375838926,7.11573741505377
"2",3,2020-04-20,31.4917127071823,6.76684890676747
"3",4,2020-04-28,29.3859649122807,5.91294909607651
"4",5,2020-05-05,27.0408163265306,6.21838944960339
"5",6,2020-05-12,27.6762402088773,4.48075014553333
"6",7,2020-05-19,29.0196078431373,3.93899972213954
"7",8,2020-05-26,28.4345047923323,3.5338131271496
"8",9,2020-06-02,28.5318559556787,3.29388730190592
"9",10,2020-06-09,31.7808219178082,3.37777288434867
"10",11,2020-06-16,32.6732673267327,3.23400318644589
"11",12,2020-06-23,31.5175097276265,3.27940158583721
"12",13,2020-06-29,34.0425531914894,3.38680452518107
"13",14,2020-07-06,35.6242840778923,3.17675014265218
"14",15,2020-07-13,32.8843995510662,3.08477801802199
"15",16,2020-07-20,32.9254727474972,3.07199882576903
"16",17,2020-07-27,33.9539978094195,3.07177504615547
"17",19,2020-08-11,34.5345345345345,2.94853481917048
"18",21,2020-08-25,33.1611570247934,2.96583982079539
"19",23,2020-09-08,37.9733879222108,3.04324903284663
"20",25,2020-09-21,35.4098360655738,3.09877951123857
"21",27,2020-10-06,35.1115421920466,2.91363682577924
"22",29,2020-10-20,35.1926977687627,2.98095805700749
"23",31,2020-11-03,34.9473684210526,3.0320331331057
"24",33,2020-11-17,35.8510638297872,3.06575819235169
"25",35,2020-12-01,36.5591397849462,3.0952598396479
