"","Week","poverty150","problems"
"1",1,"0",30.29
"2",1,"1",25.72
"3",2,"0",30.46
"4",2,"1",25.97
"5",3,"0",30.62
"6",3,"1",26.21
"7",4,"0",30.79
"8",4,"1",26.46
"9",5,"0",30.95
"10",5,"1",26.7
"11",6,"0",31.12
"12",6,"1",26.95
"13",7,"0",30.83
"14",7,"1",26.26
"15",8,"0",30.54
"16",8,"1",25.58
"17",9,"0",30.26
"18",9,"1",24.89
"19",10,"0",29.97
"20",10,"1",24.21
