"","Week","single","problems"
"1",1,"0",55.36
"2",1,"1",52.55
"3",2,"0",54.65
"4",2,"1",52.56
"5",3,"0",53.94
"6",3,"1",52.58
"7",4,"0",53.23
"8",4,"1",52.59
"9",5,"0",52.52
"10",5,"1",52.6
"11",6,"0",51.81
"12",6,"1",52.62
"13",7,"0",52.96
"14",7,"1",51.85
"15",8,"0",54.11
"16",8,"1",51.08
"17",9,"0",55.27
"18",9,"1",50.3
"19",10,"0",56.42
"20",10,"1",49.53
