"","material_hardship","Average","MOE"
"1",0,33.69,-0.8
"2",1,40.9,-2.05
"3",2,43.33,-1.76
"4",3,45.67,-1.99
"5",4,50.98,-2.6
"6",5,54.55,-3.71
"7",6,60.47,-4.64
