"","material_hardship","Average","MOE"
"1",0,33.93,-0.76
"2",1,39.94,-2.07
"3",2,43.91,-1.78
"4",3,46.43,-2.03
"5",4,49.64,-2.65
"6",5,53.86,-3.87
"7",6,54.97,-4.83
