"","Week","poverty150","problems"
"1",1,"0",28.54
"2",1,"1",25
"3",2,"0",30.51
"4",2,"1",25.37
"5",3,"0",31.62
"6",3,"1",24.71
"7",4,"0",27.89
"8",4,"1",23.64
"9",5,"0",30.52
"10",5,"1",27.67
"11",6,"0",30.09
"12",6,"1",25.77
"13",7,"0",29.2
"14",7,"1",25.27
"15",8,"0",26.7
"16",8,"1",25.32
"17",9,"0",26.51
"18",9,"1",24.52
"19",10,"0",30
"20",10,"1",24.02
