"","Week","black","problems"
"1",1,"0",49.85
"2",1,"1",54.7
"3",2,"0",47.92
"4",2,"1",54.07
"5",3,"0",45.99
"6",3,"1",53.45
"7",4,"0",44.07
"8",4,"1",52.82
"9",5,"0",42.14
"10",5,"1",52.19
"11",6,"0",40.22
"12",6,"1",51.56
"13",7,"0",41.64
"14",7,"1",50.91
"15",8,"0",43.07
"16",8,"1",50.26
"17",9,"0",44.5
"18",9,"1",49.6
"19",10,"0",45.92
"20",10,"1",48.95
