"","Week","poverty150","problems"
"1",1,"0",53.95
"2",1,"1",51.75
"3",2,"0",50.29
"4",2,"1",47.81
"5",3,"0",53.95
"6",3,"1",49.73
"7",4,"0",50.44
"8",4,"1",48.8
"9",5,"0",57.48
"10",5,"1",57.1
"11",6,"0",51.82
"12",6,"1",54.99
"13",7,"0",51.25
"14",7,"1",52.84
"15",8,"0",51.86
"16",8,"1",50.35
"17",9,"0",57.47
"18",9,"1",52.35
"19",10,"0",56.46
"20",10,"1",50.74
