"","material_hardship","Average","MOE"
"1",0,33.72,-0.82
"2",1,41.5,-2.07
"3",2,43.41,-1.8
"4",3,46.25,-2.07
"5",4,51.12,-2.64
"6",5,52.22,-3.81
"7",6,59.09,-4.86
