"","material_hardship","Average","MOE"
"1",0,36,-0.71
"2",1,43.55,-1.9
"3",2,47.89,-1.56
"4",3,52.88,-1.74
"5",4,57.38,-2.19
"6",5,62.81,-3.27
"7",6,64.87,-3.9
