"","mh_all","black","percent","number"
"1","0","Not Black",59.6,"0"
"2","0","Black",40.2,"0"
"3","1+","Not Black",15.5,"1"
"4","1+","Black",14.4,"1"
"5","1+","Not Black",9.6,"2"
"6","1+","Black",15.5,"2"
"7","1+","Not Black",15.3,"3"
"8","1+","Black",29.9,"3"
