"","Week","states_groups","fit"
"1",1,"NY/NJ",47.4212073245114
"2",1,"TX/FL/AZ",45.5769685710143
"3",2,"NY/NJ",47.1289621028891
"4",2,"TX/FL/AZ",45.7959182445084
"5",3,"NY/NJ",46.8367168812668
"6",3,"TX/FL/AZ",46.0148679180025
"7",4,"NY/NJ",46.5444716596445
"8",4,"TX/FL/AZ",46.2338175914965
"9",5,"NY/NJ",46.2522264380222
"10",5,"TX/FL/AZ",46.4527672649906
"11",6,"NY/NJ",45.9599812163999
"12",6,"TX/FL/AZ",46.6717169384847
"13",7,"NY/NJ",45.6677359947776
"14",7,"TX/FL/AZ",46.8906666119788
"15",8,"NY/NJ",45.7275606702623
"16",8,"TX/FL/AZ",47.0078949620604
"17",9,"NY/NJ",45.7873853457471
"18",9,"TX/FL/AZ",47.1251233121421
"19",10,"NY/NJ",45.8472100212318
"20",10,"TX/FL/AZ",47.2423516622238
"21",11,"NY/NJ",45.9070346967166
"22",11,"TX/FL/AZ",47.3595800123054
"23",12,"NY/NJ",45.9668593722013
"24",12,"TX/FL/AZ",47.4768083623871
"25",13,"NY/NJ",46.0266840476861
"26",13,"TX/FL/AZ",47.5940367124688
"27",14,"NY/NJ",46.0865087231708
"28",14,"TX/FL/AZ",47.7112650625505
"29",15,"NY/NJ",46.1463333986555
"30",15,"TX/FL/AZ",47.8284934126321
"31",16,"NY/NJ",46.2061580741403
"32",16,"TX/FL/AZ",47.9457217627138
"33",17,"NY/NJ",46.265982749625
"34",17,"TX/FL/AZ",48.0629501127954
"35",18,"NY/NJ",46.3258074251098
"36",18,"TX/FL/AZ",48.1801784628771
"37",19,"NY/NJ",46.3856321005945
"38",19,"TX/FL/AZ",48.2974068129588
"39",20,"NY/NJ",46.4454567760793
"40",20,"TX/FL/AZ",48.4146351630404
"41",21,"NY/NJ",46.505281451564
"42",21,"TX/FL/AZ",48.5318635131221
"43",22,"NY/NJ",46.5651061270488
"44",22,"TX/FL/AZ",48.6490918632038
"45",23,"NY/NJ",46.6249308025335
"46",23,"TX/FL/AZ",48.7663202132855
"47",24,"NY/NJ",46.6847554780183
"48",24,"TX/FL/AZ",48.8835485633671
"49",25,"NY/NJ",46.744580153503
"50",25,"TX/FL/AZ",49.0007769134488
"51",26,"NY/NJ",46.8044048289878
"52",26,"TX/FL/AZ",49.1180052635304
"53",27,"NY/NJ",46.8642295044725
"54",27,"TX/FL/AZ",49.2352336136121
"55",28,"NY/NJ",46.9240541799573
"56",28,"TX/FL/AZ",49.3524619636938
"57",29,"NY/NJ",46.983878855442
"58",29,"TX/FL/AZ",49.4696903137755
"59",30,"NY/NJ",47.0437035309268
"60",30,"TX/FL/AZ",49.5869186638571
"61",31,"NY/NJ",47.1035282064115
"62",31,"TX/FL/AZ",49.7041470139388
"63",32,"NY/NJ",47.1633528818963
"64",32,"TX/FL/AZ",49.8213753640205
"65",33,"NY/NJ",47.223177557381
"66",33,"TX/FL/AZ",49.9386037141021
"67",34,"NY/NJ",47.2830022328658
"68",34,"TX/FL/AZ",50.0558320641838
"69",35,"NY/NJ",47.3428269083505
"70",35,"TX/FL/AZ",50.1730604142654
