"","material_hardship","Average","MOE"
"1",0,36.05,-0.7
"2",1,43.96,-1.88
"3",2,48.15,-1.53
"4",3,52.78,-1.71
"5",4,57.46,-2.14
"6",5,62.83,-3.18
"7",6,64.89,-3.86
