"","race_ethnic","poverty_cat","count","percent"
"1","Black","Above FPL",274,30.7
"2","Black","Below FPL",230,24.8
"3","Latinx","Above FPL",586,30.2
"4","Latinx","Below FPL",400,36.8
"5","White","Above FPL",2732,23.2
"6","White","Below FPL",1079,32.6
