"","Week","poverty150","problems"
"1",1,"0",63.53
"2",1,"1",57.02
"3",2,"0",62.59
"4",2,"1",55.79
"5",3,"0",61.65
"6",3,"1",54.56
"7",4,"0",60.72
"8",4,"1",53.33
"9",5,"0",59.78
"10",5,"1",52.09
"11",6,"0",58.84
"12",6,"1",50.86
"13",7,"0",58.49
"14",7,"1",50.16
"15",8,"0",58.14
"16",8,"1",49.45
"17",9,"0",57.79
"18",9,"1",48.75
"19",10,"0",57.45
"20",10,"1",48.05
