"","material_hardship","Average","MOE"
"1",0,36.42,-0.71
"2",1,44.32,-1.9
"3",2,47.58,-1.56
"4",3,52.39,-1.74
"5",4,57.32,-2.18
"6",5,61.48,-3.23
"7",6,65.18,-3.77
