"","Week","Date","percent","moe"
"1",2,2020-04-14,26.9736842105263,7.05576499159107
"2",3,2020-04-20,31.1475409836066,6.70968508278526
"3",4,2020-04-28,29.1304347826087,5.87212809691849
"4",5,2020-05-05,26.9035532994924,6.19264113057945
"5",6,2020-05-12,27.7922077922078,4.47485805591485
"6",7,2020-05-19,28.8499025341131,3.92064313402562
"7",8,2020-05-26,28.2539682539683,3.51580246046548
"8",9,2020-06-02,28.748280605227,3.2899740922242
"9",10,2020-06-09,31.8801089918256,3.37135831233918
"10",11,2020-06-16,32.6781326781327,3.22218566774046
"11",12,2020-06-23,31.25,3.24458683810435
"12",13,2020-06-29,34.1623036649215,3.36294898849882
"13",14,2020-07-06,35.7303370786517,3.14834731176244
"14",15,2020-07-13,33.2233223322332,3.06202028565182
"15",16,2020-07-20,32.8602620087336,3.04182108899688
"16",17,2020-07-27,34.331550802139,3.04351437139292
"17",19,2020-08-11,34.6153846153846,2.9282588282825
"18",21,2020-08-25,33.1987891019173,2.93205784031723
"19",23,2020-09-08,38.1,3.00998189761998
"20",25,2020-09-21,35.3878852284803,3.05524148652651
