"","Week","black","problems"
"1",1,"0",57.19
"2",1,"1",58.13
"3",2,"0",54.76
"4",2,"1",57.15
"5",3,"0",52.33
"6",3,"1",56.16
"7",4,"0",49.9
"8",4,"1",55.17
"9",5,"0",47.47
"10",5,"1",54.19
"11",6,"0",45.04
"12",6,"1",53.2
"13",7,"0",45.87
"14",7,"1",52.48
"15",8,"0",46.7
"16",8,"1",51.77
"17",9,"0",47.53
"18",9,"1",51.05
"19",10,"0",48.36
"20",10,"1",50.34
