"","material_hardship","Average","MOE"
"1",0,35.54,-0.68
"2",1,44.79,-1.69
"3",2,47.19,-1.45
"4",3,51.65,-1.61
"5",4,57.15,-2.05
"6",5,60.99,-3
"7",6,63.26,-3.4
