"","Week","states_groups","fit"
"1",1,"NY/NJ",45.4081777725355
"2",1,"TX/FL/AZ",47.1264060572628
"3",2,"NY/NJ",44.5517472074962
"4",2,"TX/FL/AZ",46.1000372782955
"5",3,"NY/NJ",43.695316642457
"6",3,"TX/FL/AZ",45.0736684993281
"7",4,"NY/NJ",42.8388860774177
"8",4,"TX/FL/AZ",44.0472997203608
"9",5,"NY/NJ",41.9824555123784
"10",5,"TX/FL/AZ",43.0209309413934
"11",6,"NY/NJ",41.1260249473391
"12",6,"TX/FL/AZ",41.994562162426
"13",7,"NY/NJ",40.2695943822999
"14",7,"TX/FL/AZ",40.9681933834587
"15",8,"NY/NJ",40.1631603046056
"16",8,"TX/FL/AZ",41.1864117674967
"17",9,"NY/NJ",40.0567262269114
"18",9,"TX/FL/AZ",41.4046301515348
"19",10,"NY/NJ",39.9502921492171
"20",10,"TX/FL/AZ",41.6228485355729
"21",11,"NY/NJ",39.8438580715229
"22",11,"TX/FL/AZ",41.841066919611
"23",12,"NY/NJ",39.7374239938287
"24",12,"TX/FL/AZ",42.059285303649
"25",13,"NY/NJ",39.6309899161344
"26",13,"TX/FL/AZ",42.2775036876871
"27",14,"NY/NJ",39.5245558384402
"28",14,"TX/FL/AZ",42.4957220717252
"29",15,"NY/NJ",39.4181217607459
"30",15,"TX/FL/AZ",42.7139404557632
"31",16,"NY/NJ",39.3116876830517
"32",16,"TX/FL/AZ",42.9321588398013
"33",17,"NY/NJ",39.2052536053575
"34",17,"TX/FL/AZ",43.1503772238394
"35",18,"NY/NJ",39.0988195276632
"36",18,"TX/FL/AZ",43.3685956078774
"37",19,"NY/NJ",38.992385449969
"38",19,"TX/FL/AZ",43.5868139919155
"39",20,"NY/NJ",38.8859513722747
"40",20,"TX/FL/AZ",43.8050323759536
"41",21,"NY/NJ",38.7795172945805
"42",21,"TX/FL/AZ",44.0232507599916
"43",22,"NY/NJ",38.6730832168863
"44",22,"TX/FL/AZ",44.2414691440297
"45",23,"NY/NJ",38.566649139192
"46",23,"TX/FL/AZ",44.4596875280678
"47",24,"NY/NJ",38.4602150614978
"48",24,"TX/FL/AZ",44.6779059121058
"49",25,"NY/NJ",38.3537809838035
"50",25,"TX/FL/AZ",44.8961242961439
