"","material_hardship","Average","MOE"
"1",0,36.1,-0.71
"2",1,43.58,-1.93
"3",2,47.99,-1.58
"4",3,52.86,-1.75
"5",4,57.32,-2.21
"6",5,62.81,-3.27
"7",6,65.13,-3.93
