"","Week","poverty150","problems"
"1",1,"0",28.58
"2",1,"1",22.22
"3",2,"0",28.29
"4",2,"1",23.05
"5",3,"0",28
"6",3,"1",23.88
"7",4,"0",27.71
"8",4,"1",24.71
"9",5,"0",27.42
"10",5,"1",25.53
"11",6,"0",27.14
"12",6,"1",26.36
"13",7,"0",27.41
"14",7,"1",25.51
"15",8,"0",27.67
"16",8,"1",24.66
"17",9,"0",27.94
"18",9,"1",23.81
"19",10,"0",28.21
"20",10,"1",22.96
