"plans","percent"
"Move to online only",36.1
"Ability for parent to choose between online or in-person instruction",32.2
"A combination of in-person on some days and online on other days",14.6
"Open completely",7.3
"Not applicable (e.g., homeschooled)",6.3
"Other",2.1
"Don't know yet",1.3
