"","Week","states_groups","fit"
"1",1,"NY/NJ",43.1292533044952
"2",1,"TX/FL/AZ",39.8369703470346
"3",2,"NY/NJ",43.828884464118
"4",2,"TX/FL/AZ",41.0731772862075
"5",3,"NY/NJ",44.5285156237408
"6",3,"TX/FL/AZ",42.3093842253805
"7",4,"NY/NJ",45.2281467833636
"8",4,"TX/FL/AZ",43.5455911645534
"9",5,"NY/NJ",45.9277779429865
"10",5,"TX/FL/AZ",44.7817981037264
"11",6,"NY/NJ",46.6274091026093
"12",6,"TX/FL/AZ",46.0180050428993
"13",7,"NY/NJ",47.3270402622321
"14",7,"TX/FL/AZ",47.2542119820723
"15",8,"NY/NJ",47.398661987292
"16",8,"TX/FL/AZ",47.5353258589317
"17",9,"NY/NJ",47.4702837123518
"18",9,"TX/FL/AZ",47.8164397357912
"19",10,"NY/NJ",47.5419054374117
"20",10,"TX/FL/AZ",48.0975536126506
"21",11,"NY/NJ",47.6135271624716
"22",11,"TX/FL/AZ",48.3786674895101
"23",12,"NY/NJ",47.6851488875314
"24",12,"TX/FL/AZ",48.6597813663695
"25",13,"NY/NJ",47.7567706125913
"26",13,"TX/FL/AZ",48.940895243229
"27",14,"NY/NJ",47.8283923376512
"28",14,"TX/FL/AZ",49.2220091200884
"29",15,"NY/NJ",47.900014062711
"30",15,"TX/FL/AZ",49.5031229969479
"31",16,"NY/NJ",47.9716357877709
"32",16,"TX/FL/AZ",49.7842368738073
"33",17,"NY/NJ",48.0432575128308
"34",17,"TX/FL/AZ",50.0653507506668
"35",18,"NY/NJ",48.1148792378906
"36",18,"TX/FL/AZ",50.3464646275262
"37",19,"NY/NJ",48.1865009629505
"38",19,"TX/FL/AZ",50.6275785043856
"39",20,"NY/NJ",48.2581226880104
"40",20,"TX/FL/AZ",50.9086923812451
"41",21,"NY/NJ",48.3297444130703
"42",21,"TX/FL/AZ",51.1898062581045
"43",22,"NY/NJ",48.4013661381301
"44",22,"TX/FL/AZ",51.470920134964
"45",23,"NY/NJ",48.47298786319
"46",23,"TX/FL/AZ",51.7520340118234
"47",24,"NY/NJ",48.5446095882499
"48",24,"TX/FL/AZ",52.0331478886829
"49",25,"NY/NJ",48.6162313133097
"50",25,"TX/FL/AZ",52.3142617655423
"51",26,"NY/NJ",48.6878530383696
"52",26,"TX/FL/AZ",52.5953756424018
"53",27,"NY/NJ",48.7594747634295
"54",27,"TX/FL/AZ",52.8764895192612
"55",28,"NY/NJ",48.8310964884893
"56",28,"TX/FL/AZ",53.1576033961207
"57",29,"NY/NJ",48.9027182135492
"58",29,"TX/FL/AZ",53.4387172729801
"59",30,"NY/NJ",48.9743399386091
"60",30,"TX/FL/AZ",53.7198311498395
"61",31,"NY/NJ",49.0459616636689
"62",31,"TX/FL/AZ",54.000945026699
"63",32,"NY/NJ",49.1175833887288
"64",32,"TX/FL/AZ",54.2820589035584
"65",33,"NY/NJ",49.1892051137887
"66",33,"TX/FL/AZ",54.5631727804179
