"","material_hardship","Average","MOE"
"1",0,33.44,-0.8
"2",1,40.3,-2.02
"3",2,43.32,-1.75
"4",3,46.53,-1.99
"5",4,50.31,-2.61
"6",5,53.83,-3.82
"7",6,59.64,-4.73
