"","Week","poverty150","problems"
"1",1,"0",55.62
"2",1,"1",51.2
"3",2,"0",55.28
"4",2,"1",51.46
"5",3,"0",54.95
"6",3,"1",51.72
"7",4,"0",54.61
"8",4,"1",51.99
"9",5,"0",54.28
"10",5,"1",52.25
"11",6,"0",53.94
"12",6,"1",52.51
"13",7,"0",54.67
"14",7,"1",51.42
"15",8,"0",55.39
"16",8,"1",50.34
"17",9,"0",56.12
"18",9,"1",49.26
"19",10,"0",56.84
"20",10,"1",48.18
