"","Week","single","problems"
"1",1,"0",55.88
"2",1,"1",52.75
"3",2,"0",50.83
"4",2,"1",48.77
"5",3,"0",56.37
"6",3,"1",48.89
"7",4,"0",57.94
"8",4,"1",49.35
"9",5,"0",59.62
"10",5,"1",56.2
"11",6,"0",60.48
"12",6,"1",53.07
"13",7,"0",55.32
"14",7,"1",51.07
"15",8,"0",53.7
"16",8,"1",50.19
"17",9,"0",60.42
"18",9,"1",52.34
"19",10,"0",57.01
"20",10,"1",50.97
