"","Week","poverty150","problems"
"1",1,"0",53.95
"2",1,"1",51.94
"3",2,"0",50.29
"4",2,"1",47.94
"5",3,"0",53.95
"6",3,"1",49.86
"7",4,"0",50.88
"8",4,"1",48.95
"9",5,"0",57.48
"10",5,"1",57.27
"11",6,"0",51.82
"12",6,"1",55.01
"13",7,"0",51.26
"14",7,"1",52.85
"15",8,"0",51.87
"16",8,"1",50.44
"17",9,"0",57.47
"18",9,"1",52.44
"19",10,"0",56.49
"20",10,"1",50.82
