"","Week","black","problems"
"1",1,"0",48.92
"2",1,"1",53.45
"3",2,"0",46.49
"4",2,"1",51.04
"5",3,"0",47.89
"6",3,"1",51.48
"7",4,"0",44.07
"8",4,"1",49.94
"9",5,"0",52.44
"10",5,"1",54.92
"11",6,"0",37.82
"12",6,"1",51.67
"13",7,"0",43.44
"14",7,"1",51.38
"15",8,"0",46.79
"16",8,"1",50.4
"17",9,"0",46.83
"18",9,"1",51.14
"19",10,"0",47.64
"20",10,"1",50.51
