"","race_ethnic","poverty_cat","count","percent"
"1","Black","Above FPL",277,30.7
"2","Black","Below FPL",234,24.4
"3","Latinx","Above FPL",589,30.2
"4","Latinx","Below FPL",402,36.8
"5","White","Above FPL",2740,23.2
"6","White","Below FPL",1081,32.7
