"","Week","states_groups","fit"
"1",1,"NY/NJ",45.291903490654
"2",1,"TX/FL/AZ",41.1503779659699
"3",2,"NY/NJ",44.4015781213283
"4",2,"TX/FL/AZ",41.045191659688
"5",3,"NY/NJ",43.5112527520026
"6",3,"TX/FL/AZ",40.9400053534061
"7",4,"NY/NJ",42.620927382677
"8",4,"TX/FL/AZ",40.8348190471243
"9",5,"NY/NJ",41.7306020133513
"10",5,"TX/FL/AZ",40.7296327408424
"11",6,"NY/NJ",40.8402766440257
"12",6,"TX/FL/AZ",40.6244464345605
"13",7,"NY/NJ",39.9499512747
"14",7,"TX/FL/AZ",40.5192601282786
"15",8,"NY/NJ",40.0679380205964
"16",8,"TX/FL/AZ",40.534807764123
"17",9,"NY/NJ",40.1859247664927
"18",9,"TX/FL/AZ",40.5503553999674
"19",10,"NY/NJ",40.3039115123891
"20",10,"TX/FL/AZ",40.5659030358117
"21",11,"NY/NJ",40.4218982582854
"22",11,"TX/FL/AZ",40.5814506716561
"23",12,"NY/NJ",40.5398850041818
"24",12,"TX/FL/AZ",40.5969983075005
"25",13,"NY/NJ",40.6578717500781
"26",13,"TX/FL/AZ",40.6125459433448
"27",14,"NY/NJ",40.7758584959745
"28",14,"TX/FL/AZ",40.6280935791892
"29",15,"NY/NJ",40.8938452418708
"30",15,"TX/FL/AZ",40.6436412150336
"31",16,"NY/NJ",41.0118319877672
"32",16,"TX/FL/AZ",40.6591888508779
"33",17,"NY/NJ",41.1298187336635
"34",17,"TX/FL/AZ",40.6747364867223
"35",18,"NY/NJ",41.2478054795599
"36",18,"TX/FL/AZ",40.6902841225667
"37",19,"NY/NJ",41.3657922254562
"38",19,"TX/FL/AZ",40.705831758411
"39",20,"NY/NJ",41.4837789713526
"40",20,"TX/FL/AZ",40.7213793942554
"41",21,"NY/NJ",41.6017657172489
"42",21,"TX/FL/AZ",40.7369270300998
"43",22,"NY/NJ",41.7197524631453
"44",22,"TX/FL/AZ",40.7524746659441
"45",23,"NY/NJ",41.8377392090416
"46",23,"TX/FL/AZ",40.7680223017885
"47",24,"NY/NJ",41.955725954938
"48",24,"TX/FL/AZ",40.7835699376328
"49",25,"NY/NJ",42.0737127008343
"50",25,"TX/FL/AZ",40.7991175734772
"51",26,"NY/NJ",42.1916994467307
"52",26,"TX/FL/AZ",40.8146652093216
"53",27,"NY/NJ",42.309686192627
"54",27,"TX/FL/AZ",40.8302128451659
"55",28,"NY/NJ",42.4276729385234
"56",28,"TX/FL/AZ",40.8457604810103
"57",29,"NY/NJ",42.5456596844197
"58",29,"TX/FL/AZ",40.8613081168547
"59",30,"NY/NJ",42.6636464303161
"60",30,"TX/FL/AZ",40.876855752699
"61",31,"NY/NJ",42.7816331762124
"62",31,"TX/FL/AZ",40.8924033885434
"63",32,"NY/NJ",42.8996199221088
"64",32,"TX/FL/AZ",40.9079510243878
"65",33,"NY/NJ",43.0176066680052
"66",33,"TX/FL/AZ",40.9234986602321
