"","material_hardship","Average","MOE"
"1",0,36.94,-0.66
"2",1,44.17,-1.71
"3",2,48.87,-1.43
"4",3,53.01,-1.6
"5",4,57.95,-2.05
"6",5,61.84,-3.14
"7",6,64.41,-3.7
